score,score_dealer,hard,decision,earn,earn_if_stand,earn_if_double,earn_if_hit,should_split
8,4,TRUE,hit,0.081180401987509,-0.194261737355409,-0.0554547516443638,0.081180401987509,FALSE
8,3,TRUE,hit,0.0420444285543792,-0.254351809436555,-0.152313330279432,0.0420444285543792,FALSE
8,2,TRUE,hit,0.00583762290961974,-0.265954407815803,-0.176312632120208,0.00583762290961974,FALSE
7,11,TRUE,hit,-0.525301231383486,-0.714419726614849,-1.34615384615385,-0.525301231383486,
7,10,TRUE,hit,-0.362086509592173,-0.572599037080835,-1.02140383478334,-0.362086509592173,
7,9,TRUE,hit,-0.276329438725729,-0.541737302502204,-0.950701837661897,-0.276329438725729,
7,8,TRUE,hit,-0.19247292450622,-0.49842702776638,-0.830529339351662,-0.19247292450622,
7,7,TRUE,hit,-0.0377110800081255,-0.477238134772381,-0.581707485817075,-0.0377110800081255,
7,6,TRUE,hit,0.108835215304653,-0.100543118293814,-0.0741820108623659,0.108835215304653,
7,5,TRUE,hit,0.0554480289203034,-0.146379889033495,-0.167956709363655,0.0554480289203034,
7,4,TRUE,hit,0.00470629600933426,-0.230266739248775,-0.315732172019597,0.00470629600933426,
7,3,TRUE,hit,-0.0424154060969228,-0.245122869464029,-0.359641316996372,-0.0424154060969228,
7,2,TRUE,hit,-0.0772225737995923,-0.292799784061003,-0.441595249342061,-0.0772225737995923,
6,11,TRUE,hit,-0.51238430331275,-0.727134146341463,-1.44664634146341,-0.51238430331275,FALSE
6,10,TRUE,hit,-0.377598723436356,-0.575787130287289,-1.13588466023534,-0.377598723436356,FALSE
6,9,TRUE,hit,-0.28543339456063,-0.562458025520484,-1.10308932169241,-0.28543339456063,FALSE
6,8,TRUE,hit,-0.191237859053241,-0.509275882704967,-0.995126955629649,-0.191237859053241,FALSE
6,7,TRUE,hit,-0.117613559409188,-0.456955865078033,-0.856016110085585,-0.117613559409188,TRUE
6,6,TRUE,hit,0.07979462542844,-0.11399234249913,-0.211451444483119,0.07979462542844,TRUE
6,5,TRUE,hit,0.0318853224521121,-0.13983989098961,-0.26196559359564,0.0318853224521121,TRUE
6,4,TRUE,hit,-0.0186380746292093,-0.197174906522642,-0.374906522642293,-0.0186380746292093,TRUE
6,3,TRUE,hit,-0.0650516975184783,-0.245463065519298,-0.470477975632615,-0.0650516975184783,TRUE
6,2,TRUE,hit,-0.107239603685621,-0.291351065703717,-0.562092654571076,-0.107239603685621,FALSE
5,11,TRUE,hit,-0.497267737953679,-0.696301103179753,-1.39260220635951,-0.497267737953679,
5,10,TRUE,hit,-0.355578579289813,-0.583414161008729,-1.16682832201746,-0.355578579289813,
5,9,TRUE,hit,-0.253292154478819,-0.556111897246109,-1.11222379449222,-0.253292154478819,
5,8,TRUE,hit,-0.170379424834709,-0.518646259969821,-1.03729251993964,-0.170379424834709,
